,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Rating
320,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,3840000.0,76.0,7.9,E10+
323,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3830000.0,78.0,3.7,M
324,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,3830000.0,59.0,4.0,E
325,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3800000.0,80.0,7.0,M
326,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,3790000.0,68.0,6.9,E
329,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,3760000.0,77.0,7.5,E10+
330,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,3760000.0,79.0,8.0,T
332,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,3730000.0,64.0,7.5,E
335,Super Paper Mario,Wii,2007,Platform,Nintendo,3710000.0,85.0,7.9,E
336,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,3710000.0,91.0,8.8,E
337,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3710000.0,88.0,8.1,M
338,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,3700000.0,81.0,7.6,E
341,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,3670000.0,94.0,8.5,T
343,MySims,DS,2007,Simulation,Electronic Arts,3660000.0,67.0,7.3,E
344,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,3650000.0,74.0,8.4,E10+
346,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,3650000.0,82.0,7.9,M
347,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,3640000.0,90.0,8.7,E
349,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,3630000.0,82.0,7.9,E
350,Resident Evil 4,PS2,2005,Action,Capcom,3620000.0,96.0,8.9,M
351,Guitar Hero: World Tour,Wii,2008,Misc,Activision,3620000.0,86.0,7.6,T
352,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,3620000.0,91.0,7.6,E
353,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,3610000.0,82.0,8.7,T
355,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,3610000.0,64.0,7.7,T
356,Luigi's Mansion,GC,2001,Action,Nintendo,3600000.0,78.0,8.5,E
357,Battlefield 4,PS4,2013,Shooter,Electronic Arts,3590000.0,85.0,6.9,M
358,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,3590000.0,84.0,9.0,T
360,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,3580000.0,70.0,8.0,E
363,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,3540000.0,78.0,7.8,M
364,The Getaway,PS2,2002,Action,Sony Computer Entertainment,3540000.0,72.0,6.8,M
366,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,3530000.0,72.0,7.9,T
369,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,3520000.0,88.0,7.5,E
371,Left 4 Dead,X360,2008,Shooter,Electronic Arts,3510000.0,89.0,7.9,M
373,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3500000.0,72.0,4.1,M
375,Resident Evil 5,X360,2009,Action,Capcom,3500000.0,83.0,7.5,M
376,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,3490000.0,89.0,8.3,M
378,Battlefield 4,PS3,2013,Shooter,Electronic Arts,3490000.0,80.0,5.8,M
379,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,3480000.0,92.0,8.7,T
380,Battlefield 4,X360,2013,Shooter,Electronic Arts,3480000.0,79.0,5.6,M
381,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3470000.0,88.0,8.6,M
383,Guitar Hero: On Tour,DS,2008,Misc,Activision,3460000.0,71.0,8.8,E10+
384,Clubhouse Games,DS,2006,Misc,Nintendo,3450000.0,83.0,8.4,E
386,Borderlands,X360,2009,Shooter,Take-Two Interactive,3440000.0,84.0,8.2,M
387,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,3440000.0,79.0,8.3,T
389,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3420000.0,70.0,8.0,T
390,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3410000.0,93.0,8.2,M
391,Spider-Man 2,PS2,2004,Action,Activision,3410000.0,80.0,8.9,T
393,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,3400000.0,88.0,6.7,E
394,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3390000.0,91.0,8.4,E
395,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,3390000.0,68.0,8.2,E
396,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3390000.0,76.0,6.8,M
397,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,3380000.0,76.0,7.9,E10+
398,Destiny,XOne,2014,Shooter,Activision,3370000.0,75.0,5.5,T
401,Far Cry 3,PS3,2012,Shooter,Ubisoft,3350000.0,90.0,8.5,M
404,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,3330000.0,77.0,8.5,T
407,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,3320000.0,60.0,7.2,T
